Date,Flow Q (m3/s)
01/10/2012,1.76
02/10/2012,1.76
03/10/2012,1.42
04/10/2012,1.01
05/10/2012,0.308
06/10/2012,0
07/10/2012,0
08/10/2012,0
09/10/2012,0
10/10/2012,0
11/10/2012,0
12/10/2012,0
13/10/2012,0
14/10/2012,0
15/10/2012,0
16/10/2012,0
17/10/2012,0
18/10/2012,0
19/10/2012,0
20/10/2012,0
21/10/2012,0
22/10/2012,0
23/10/2012,0
24/10/2012,0
25/10/2012,0
26/10/2012,0
27/10/2012,0
28/10/2012,0
29/10/2012,0
30/10/2012,0
31/10/2012,0
01/11/2012,0
02/11/2012,0
03/11/2012,0
04/11/2012,0
05/11/2012,0
06/11/2012,0
07/11/2012,0
08/11/2012,0
09/11/2012,0
10/11/2012,0
11/11/2012,0
12/11/2012,0
13/11/2012,0
14/11/2012,0
15/11/2012,0
16/11/2012,0
17/11/2012,0
18/11/2012,0
19/11/2012,0
20/11/2012,0
21/11/2012,0
22/11/2012,0
23/11/2012,0
24/11/2012,0
25/11/2012,0
26/11/2012,0
27/11/2012,0
28/11/2012,0
29/11/2012,0
30/11/2012,0
01/12/2012,0
02/12/2012,0
03/12/2012,0
04/12/2012,0
05/12/2012,0
06/12/2012,0
07/12/2012,0
08/12/2012,0
09/12/2012,0
10/12/2012,0
11/12/2012,0
12/12/2012,0
13/12/2012,0
14/12/2012,0
15/12/2012,0
16/12/2012,0
17/12/2012,0
18/12/2012,0
19/12/2012,0
20/12/2012,0
21/12/2012,0
22/12/2012,0
23/12/2012,0
24/12/2012,0
25/12/2012,0
26/12/2012,0
27/12/2012,0
28/12/2012,0
29/12/2012,0
30/12/2012,0
31/12/2012,0
01/01/2013,0
02/01/2013,0
03/01/2013,0
04/01/2013,0
05/01/2013,0
06/01/2013,0
07/01/2013,0
08/01/2013,0
09/01/2013,0
10/01/2013,0
11/01/2013,0
12/01/2013,0
13/01/2013,0
14/01/2013,0
15/01/2013,0
16/01/2013,0
17/01/2013,0
18/01/2013,0
19/01/2013,0
20/01/2013,0
21/01/2013,0
22/01/2013,0
23/01/2013,0
24/01/2013,0
25/01/2013,0
26/01/2013,0
27/01/2013,0
28/01/2013,0
29/01/2013,0
30/01/2013,0
31/01/2013,0
01/02/2013,0
02/02/2013,0
03/02/2013,0
04/02/2013,0
05/02/2013,0
06/02/2013,0
07/02/2013,0
08/02/2013,0
09/02/2013,0
10/02/2013,0
11/02/2013,0
12/02/2013,0
13/02/2013,0
14/02/2013,0
15/02/2013,0
16/02/2013,0
17/02/2013,0
18/02/2013,0
19/02/2013,0
20/02/2013,0
21/02/2013,0
22/02/2013,0
23/02/2013,0
24/02/2013,0
25/02/2013,0
26/02/2013,0
27/02/2013,0
28/02/2013,0
01/03/2013,0
02/03/2013,0
03/03/2013,0
04/03/2013,0
05/03/2013,0
06/03/2013,0
07/03/2013,0
08/03/2013,0
09/03/2013,0
10/03/2013,0
11/03/2013,0
12/03/2013,0
13/03/2013,0
14/03/2013,0
15/03/2013,0
16/03/2013,0
17/03/2013,0
18/03/2013,0
19/03/2013,0
20/03/2013,0
21/03/2013,0
22/03/2013,0
23/03/2013,0
24/03/2013,0
25/03/2013,0
26/03/2013,0
27/03/2013,0
28/03/2013,0
29/03/2013,0
30/03/2013,0
31/03/2013,0
01/04/2013,0
02/04/2013,0
03/04/2013,0
04/04/2013,0
05/04/2013,0
06/04/2013,0
07/04/2013,0
08/04/2013,0
09/04/2013,0
10/04/2013,0
11/04/2013,0
12/04/2013,0
13/04/2013,0
14/04/2013,0
15/04/2013,0
16/04/2013,0
17/04/2013,0
18/04/2013,0
19/04/2013,0
20/04/2013,0
21/04/2013,0
22/04/2013,0
23/04/2013,0
24/04/2013,0
25/04/2013,0
26/04/2013,0
27/04/2013,0
28/04/2013,0
29/04/2013,0
30/04/2013,0
01/05/2013,0
02/05/2013,0
03/05/2013,0.505
04/05/2013,0.505
05/05/2013,0.505
06/05/2013,0.505
07/05/2013,0.613
08/05/2013,0.732
09/05/2013,0.732
10/05/2013,0.732
11/05/2013,0.732
12/05/2013,0.732
13/05/2013,0.732
14/05/2013,0.505
15/05/2013,0
16/05/2013,0
17/05/2013,0
18/05/2013,0
19/05/2013,0
20/05/2013,0
21/05/2013,0
22/05/2013,0
23/05/2013,0
24/05/2013,0
25/05/2013,0.225
26/05/2013,0.613
27/05/2013,0.613
28/05/2013,0.613
29/05/2013,0.613
30/05/2013,0.613
31/05/2013,0
01/06/2013,0.613
02/06/2013,0.613
03/06/2013,0.613
04/06/2013,0.613
05/06/2013,0.613
06/06/2013,0.613
07/06/2013,0.613
08/06/2013,0.613
09/06/2013,0.613
10/06/2013,0.613
11/06/2013,0.613
12/06/2013,0.613
13/06/2013,0.613
14/06/2013,0.732
15/06/2013,0.87
16/06/2013,1.01
17/06/2013,1.15
18/06/2013,2.1
19/06/2013,2.83
20/06/2013,2.83
21/06/2013,2.83
22/06/2013,3.02
23/06/2013,3.02
24/06/2013,0.732
25/06/2013,0.732
26/06/2013,1.15
27/06/2013,3.63
28/06/2013,3.84
29/06/2013,3.63
30/06/2013,3.63
01/07/2013,3.63
02/07/2013,3.63
03/07/2013,3.63
04/07/2013,3.63
05/07/2013,3.63
06/07/2013,3.63
07/07/2013,3.63
08/07/2013,3.42
09/07/2013,4.71
10/07/2013,4.93
11/07/2013,5.16
12/07/2013,5.38
13/07/2013,5.86
14/07/2013,6.11
15/07/2013,6.35
16/07/2013,6.59
17/07/2013,7.11
18/07/2013,7.62
19/07/2013,7.88
